direction,entry_time,entry_price,exit_time,exit_price,exit_reason,qty,pnl,fees,r_value,win
short,2024-11-08 10:15:00+00:00,2683.75,2024-11-08 10:29:00+00:00,2687.9528571428573,stop_loss,9.947981402175534,-45.550576701605785,3.7406320084609224,4.202857142857283,False
short,2024-11-08 12:52:00+00:00,2688.12,2024-11-08 13:14:00+00:00,2688.12,stop_be,32.359682342122035,8.614411979881035,12.176683924937374,1.2850000000003092,True
short,2024-11-13 09:28:00+00:00,2606.36,2024-11-13 10:10:00+00:00,2603.1771428571433,full_2r,26.15591086954944,52.89822567745641,9.539670126847941,1.5914285714284233,True
short,2024-11-14 14:01:00+00:00,2553.25,2024-11-14 14:26:00+00:00,2556.1285714285714,stop_loss,14.552272207715626,-47.09446974278236,5.204714744858842,2.8785714285713766,False
long,2024-11-18 07:05:00+00:00,2590.61,2024-11-18 07:14:00+00:00,2589.5442857142857,stop_loss,39.08578800863676,-55.82721150765178,14.172928858442184,1.0657142857144208,False
long,2024-11-19 14:01:00+00:00,2630.03,2024-11-19 14:20:00+00:00,2634.377142857143,full_2r,19.035558734255446,55.04940282181535,7.013317065691664,2.1735714285714494,True
long,2024-11-20 08:04:00+00:00,2635.54,2024-11-20 08:07:00+00:00,2633.8864285714285,stop_loss,25.18814300133529,-50.941288255031495,9.290894649251085,1.6535714285714675,False
long,2024-11-21 14:08:00+00:00,2666.65,2024-11-21 14:12:00+00:00,2664.6428571428573,stop_loss,20.624185775911158,-49.09243736631043,7.696750201805173,2.007142857142753,False
long,2024-11-22 07:03:00+00:00,2687.46,2024-11-22 07:33:00+00:00,2685.255,stop_loss,18.66223354996601,-48.168905326592096,7.018680348918394,2.2049999999999272,False
long,2024-11-29 13:46:00+00:00,2663.27,2024-11-29 13:58:00+00:00,2660.4542857142856,stop_loss,14.528952976015798,-46.32375023734986,5.4143697863091305,2.815714285714421,False
short,2024-12-05 07:11:00+00:00,2646.86,2024-12-05 07:19:00+00:00,2648.1892857142857,stop_loss,30.601217829017813,-52.020208662380945,11.34244696252696,1.329285714285561,False
long,2024-12-05 13:22:00+00:00,2649.17,2024-12-05 13:35:00+00:00,2649.17,stop_be,26.640642617312434,10.326832941797282,9.88199738647376,1.5171428571425167,True
long,2024-12-05 15:06:00+00:00,2652.23,2024-12-05 15:20:00+00:00,2650.4,stop_loss,22.114368754782888,-48.677796884563286,8.208502063312206,1.8299999999999272,False
long,2024-12-09 13:32:00+00:00,2656.6,2024-12-09 13:45:00+00:00,2653.6564285714285,stop_loss,13.66568021634543,-45.30568447220374,5.0797786353754795,2.943571428571431,False
long,2024-12-10 13:55:00+00:00,2673.21,2024-12-10 14:08:00+00:00,2677.501428571428,full_2r,18.641520765733812,53.018288225408924,6.980777896291938,2.1457142857138933,True
long,2024-12-12 14:23:00+00:00,2711.05,2024-12-12 14:40:00+00:00,2709.5114285714285,stop_loss,26.170035467884205,-50.19440879450344,9.929939938909154,1.5385714285716858,False
short,2024-12-13 07:22:00+00:00,2685.95,2024-12-13 07:28:00+00:00,2686.952142857143,stop_loss,39.92793694672628,-55.03051967028691,15.017022858665133,1.0021428571430988,False
