TOP_CLOSEST_TO_696138_48
_docs_archive/backtest_artifacts/phantom-v2-validate-kGx3Ri/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-MaBZee/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-VQrcLN/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-rwu2vK/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-hSFp2F/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-giayoO/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-qEOjQr/phantom_v5_1_trades_A.csv|rows=2987|sum_net=5957.82|final_10k=15957.82|qty=(0.005259325116194378,0.01688528467505061,0.04890313401124385)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-3W7a6I/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-ZIL3uq/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pVGATA/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-pTMbwH/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-5Z2Y8x/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-mVHgz5/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-zFlZEj/phantom_v5_1_trades_A.csv|rows=3358|sum_net=3569.77|final_10k=13569.77|qty=(0.09501553465790477,1.1757856710415766,3.205417169789163)|conf=(None,None,None)
_docs_archive/backtest_artifacts/phantom-v2-validate-nfUW9h/phantom_v5_1_trades_A.csv|rows=3288|sum_net=2345.32|final_10k=12345.32|qty=(1435.3588605473471,5510.3170473393175,11405.597381820695)|conf=(None,None,None)
