DIAG|2025-12-02 15:45|M5|C=25443.35|E20=25440.26|E50=25422.40|RSI=53.56|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.6687|Zones=11
DIAG|2025-12-02 15:50|M5|C=25442.75|E20=25440.50|E50=25423.20|RSI=53.22|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.6687|Zones=11
DIAG|2025-12-02 15:55|M5|C=25456.35|E20=25442.01|E50=25424.50|RSI=59.55|H4|E20=25280.23|E50=25119.82|RSI=64.35|ATR=113.0433|M15ATR=24.6687|Zones=11
DIAG|2025-12-03 08:00|M5|C=25615.95|E20=25616.37|E50=25609.24|RSI=50.54|H4|E20=25371.41|E50=25183.85|RSI=70.75|ATR=114.4394|M15ATR=12.1733|Zones=12
DIAG|2025-12-03 08:05|M5|C=25614.05|E20=25616.15|E50=25609.43|RSI=48.17|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=12.1733|Zones=12
DIAG|2025-12-03 08:10|M5|C=25610.15|E20=25615.58|E50=25609.46|RSI=43.64|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=12.1733|Zones=12
DIAG|2025-12-03 08:15|M5|C=25611.65|E20=25615.21|E50=25609.55|RSI=45.75|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=12.2702|Zones=12
DIAG|2025-12-03 08:20|M5|C=25610.65|E20=25614.77|E50=25609.59|RSI=44.56|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=12.2702|Zones=12
DIAG|2025-12-03 08:25|M5|C=25601.95|E20=25613.55|E50=25609.29|RSI=35.77|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=12.2702|Zones=12
DIAG|2025-12-03 08:30|M5|C=25596.65|E20=25611.94|E50=25608.79|RSI=31.68|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.4608|Zones=12
DIAG|2025-12-03 08:35|M5|C=25594.55|E20=25610.29|E50=25608.23|RSI=30.20|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.4608|Zones=12
DIAG|2025-12-03 08:40|M5|C=25606.35|E20=25609.91|E50=25608.16|RSI=45.55|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.4608|Zones=12
DIAG|2025-12-03 08:45|M5|C=25612.65|E20=25610.17|E50=25608.34|RSI=51.66|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.3860|Zones=12
DIAG|2025-12-03 08:50|M5|C=25605.65|E20=25609.74|E50=25608.23|RSI=45.55|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.3860|Zones=12
DIAG|2025-12-03 08:55|M5|C=25608.65|E20=25609.64|E50=25608.25|RSI=48.37|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.3860|Zones=12
DIAG|2025-12-03 09:00|M5|C=25610.85|E20=25609.75|E50=25608.35|RSI=50.40|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.6279|Zones=12
DIAG|2025-12-03 09:05|M5|C=25611.15|E20=25609.89|E50=25608.46|RSI=50.68|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.6279|Zones=12
DIAG|2025-12-03 09:10|M5|C=25618.15|E20=25610.67|E50=25608.84|RSI=56.90|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.6279|Zones=12
DIAG|2025-12-03 09:15|M5|C=25616.45|E20=25611.22|E50=25609.14|RSI=55.08|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.5442|Zones=12
DIAG|2025-12-03 09:20|M5|C=25625.25|E20=25612.56|E50=25609.77|RSI=61.87|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.5442|Zones=12
DIAG|2025-12-03 09:25|M5|C=25620.55|E20=25613.32|E50=25610.19|RSI=56.92|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=13.5442|Zones=12
DIAG|2025-12-03 09:30|M5|C=25619.05|E20=25613.87|E50=25610.54|RSI=55.40|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.7250|Zones=12
DIAG|2025-12-03 09:35|M5|C=25618.85|E20=25614.34|E50=25610.87|RSI=55.19|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.7250|Zones=12
DIAG|2025-12-03 09:40|M5|C=25600.95|E20=25613.06|E50=25610.48|RSI=40.32|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.7250|Zones=12
DIAG|2025-12-03 09:45|M5|C=25604.05|E20=25612.21|E50=25610.23|RSI=43.18|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.9083|Zones=12
DIAG|2025-12-03 09:50|M5|C=25605.95|E20=25611.61|E50=25610.06|RSI=44.92|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.9083|Zones=12
DIAG|2025-12-03 09:55|M5|C=25602.25|E20=25610.72|E50=25609.75|RSI=42.21|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=14.9083|Zones=12
DIAG|2025-12-03 10:00|M5|C=25614.55|E20=25611.08|E50=25609.94|RSI=52.47|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=15.2672|Zones=12
DIAG|2025-12-03 10:05|M5|C=25611.35|E20=25611.11|E50=25609.99|RSI=49.98|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=15.2672|Zones=12
DIAG|2025-12-03 10:10|M5|C=25604.05|E20=25610.44|E50=25609.76|RSI=44.77|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=15.2672|Zones=12
DIAG|2025-12-03 10:15|M5|C=25595.15|E20=25608.98|E50=25609.19|RSI=39.38|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=18.7916|Zones=12
DIAG|2025-12-03 10:20|M5|C=25579.75|E20=25606.20|E50=25608.03|RSI=32.16|H4|E20=25392.11|E50=25199.73|RSI=68.60|ATR=107.6475|M15ATR=18.7916|Zones=12
