branch,mode,month,worst_intramonth_dd_amt,worst_intramonth_dd_pct
p2_filter_test2,full,2026-03,-8182.18,-0.744
p2_filter_test3,full,2011-09,-87.33,-0.194
p2_filter_test3,full,2011-10,-77.67,-0.172
p2_filter_test3,full,2011-11,-261.86,-0.575
p2_filter_test3,full,2011-12,-399.2,-0.877
p2_filter_test3,full,2012-01,-447.61,-0.983
p2_filter_test3,full,2012-02,-399.4,-0.877
p2_filter_test3,full,2012-03,-197.27,-0.431
p2_filter_test3,full,2012-04,-171.67,-0.375
p2_filter_test3,full,2012-05,-173.04,-0.376
p2_filter_test3,full,2012-06,-139.68,-0.304
p2_filter_test3,full,2012-07,-147.59,-0.313
p2_filter_test3,full,2012-08,-69.9,-0.148
p2_filter_test3,full,2012-09,-69.27,-0.145
p2_filter_test3,full,2012-10,-219.15,-0.453
p2_filter_test3,full,2012-11,-170.92,-0.353
p2_filter_test3,full,2012-12,-140.74,-0.29
p2_filter_test3,full,2013-01,-99.1,-0.202
p2_filter_test3,full,2013-02,-256.46,-0.52
p2_filter_test3,full,2013-03,-338.01,-0.685
p2_filter_test3,full,2013-04,-290.46,-0.578
p2_filter_test3,full,2013-05,-244.58,-0.487
p2_filter_test3,full,2013-06,-150.39,-0.298
p2_filter_test3,full,2013-07,-169.61,-0.335
p2_filter_test3,full,2013-08,-205.72,-0.402
p2_filter_test3,full,2013-09,-218.0,-0.426
p2_filter_test3,full,2013-10,-197.61,-0.383
p2_filter_test3,full,2013-11,-55.32,-0.107
p2_filter_test3,full,2013-12,-342.66,-0.653
p2_filter_test3,full,2014-01,-202.79,-0.382
p2_filter_test3,full,2014-02,-178.26,-0.327
p2_filter_test3,full,2014-03,-320.77,-0.588
p2_filter_test3,full,2014-04,-178.93,-0.324
p2_filter_test3,full,2014-05,-119.67,-0.211
p2_filter_test3,full,2014-06,-289.75,-0.504
p2_filter_test3,full,2014-07,-249.97,-0.431
p2_filter_test3,full,2014-08,-209.84,-0.354
p2_filter_test3,full,2014-09,-173.07,-0.283
p2_filter_test3,full,2014-10,-136.11,-0.219
p2_filter_test3,full,2014-11,-285.63,-0.453
p2_filter_test3,full,2014-12,-394.11,-0.623
