branch,mode,month,monthly_pnl,monthly_return_on_mode_start_pct,month_end_equity,month_end_drawdown_amt,month_end_drawdown_pct
p2_filter_test3,full,2015-05,539.83,1.2,69524.68,-243.77,-0.349
p2_filter_test3,full,2015-06,861.86,1.915,70386.54,0.0,0.0
p2_filter_test3,full,2015-07,816.77,1.815,71203.31,-163.62,-0.229
p2_filter_test3,full,2015-08,376.54,0.837,71579.85,-735.32,-1.017
p2_filter_test3,full,2015-09,665.57,1.479,72245.41,-69.75,-0.096
p2_filter_test3,full,2015-10,11.08,0.025,72256.49,-71.99,-0.1
p2_filter_test3,full,2015-11,1470.86,3.269,73727.35,-127.82,-0.173
p2_filter_test3,full,2015-12,936.27,2.081,74663.62,-66.73,-0.089
p2_filter_test3,full,2016-01,-296.32,-0.658,74367.3,-541.54,-0.723
p2_filter_test3,full,2016-02,-23.98,-0.053,74343.32,-565.52,-0.755
p2_filter_test3,full,2016-03,528.14,1.174,74871.46,-383.4,-0.509
p2_filter_test3,full,2016-04,250.12,0.556,75121.58,-229.47,-0.305
p2_filter_test3,full,2016-05,-136.69,-0.304,74984.9,-366.16,-0.486
p2_filter_test3,full,2016-06,2781.21,6.18,77766.1,-256.88,-0.329
p2_filter_test3,full,2016-07,120.04,0.267,77886.14,-670.58,-0.854
p2_filter_test3,full,2016-08,374.56,0.832,78260.7,-296.03,-0.377
p2_filter_test3,full,2016-09,873.36,1.941,79134.05,-20.43,-0.026
p2_filter_test3,full,2016-10,286.81,0.637,79420.86,-266.83,-0.335
p2_filter_test3,full,2016-11,292.89,0.651,79713.76,0.0,0.0
p2_filter_test3,full,2016-12,-480.04,-1.067,79233.72,-723.57,-0.905
p2_filter_test3,full,2017-01,1216.52,2.703,80450.24,-102.35,-0.127
p2_filter_test3,full,2017-02,1613.09,3.585,82063.33,0.0,0.0
p2_filter_test3,full,2017-03,1679.71,3.733,83743.04,0.0,0.0
p2_filter_test3,full,2017-04,626.72,1.393,84369.76,-614.09,-0.723
p2_filter_test3,full,2017-05,1516.41,3.37,85886.17,0.0,0.0
p2_filter_test3,full,2017-06,928.02,2.062,86814.19,-69.89,-0.08
p2_filter_test3,full,2017-07,-54.19,-0.12,86760.0,-840.84,-0.96
p2_filter_test3,full,2017-08,4197.86,9.329,90957.86,0.0,0.0
p2_filter_test3,full,2017-09,1609.52,3.577,92567.38,-217.6,-0.235
p2_filter_test3,full,2017-10,2271.09,5.047,94838.47,0.0,0.0
p2_filter_test3,full,2017-11,5441.21,12.092,100279.68,0.0,0.0
p2_filter_test3,full,2017-12,-134.88,-0.3,100144.8,-279.01,-0.278
p2_filter_test3,full,2018-01,2002.48,4.45,102147.28,-27.29,-0.027
p2_filter_test3,full,2018-02,2945.05,6.545,105092.33,-38.38,-0.037
p2_filter_test3,full,2018-03,2223.76,4.942,107316.08,0.0,0.0
p2_filter_test3,full,2018-04,-694.55,-1.543,106621.53,-904.05,-0.841
p2_filter_test3,full,2018-05,1519.51,3.377,108141.04,-845.21,-0.776
p2_filter_test3,full,2018-06,3652.63,8.117,111793.67,-535.17,-0.476
p2_filter_test3,full,2018-07,5430.29,12.067,117223.96,-43.03,-0.037
p2_filter_test3,full,2018-08,1234.11,2.742,118458.07,-1007.6,-0.843
p2_filter_test3,full,2018-09,5929.31,13.176,124387.39,-322.57,-0.259
p2_filter_test3,full,2018-10,2662.9,5.918,127050.29,0.0,0.0
p2_filter_test3,full,2018-11,1315.65,2.924,128365.95,-1079.08,-0.834
p2_filter_test3,full,2018-12,2632.83,5.851,130998.78,-68.5,-0.052
p2_filter_test3,full,2019-01,6228.54,13.841,137227.32,0.0,0.0
p2_filter_test3,full,2019-02,3394.65,7.544,140621.98,-31.54,-0.022
p2_filter_test3,full,2019-03,1391.26,3.092,142013.24,-19.73,-0.014
p2_filter_test3,full,2019-04,2108.33,4.685,144121.57,-400.19,-0.277
p2_filter_test3,full,2019-05,10514.62,23.366,154636.19,0.0,0.0
p2_filter_test3,full,2019-06,1294.02,2.876,155930.21,-844.44,-0.539
p2_filter_test3,full,2019-07,727.13,1.616,156657.34,-2862.75,-1.795
p2_filter_test3,full,2019-08,1498.41,3.33,158155.75,-2034.23,-1.27
p2_filter_test3,full,2019-09,9888.57,21.975,168044.32,0.0,0.0
p2_filter_test3,full,2019-10,1554.14,3.454,169598.46,-641.46,-0.377
p2_filter_test3,full,2019-11,3571.27,7.936,173169.73,-329.63,-0.19
p2_filter_test3,full,2019-12,1324.69,2.944,174494.42,-316.96,-0.181
p2_filter_test3,full,2020-01,179.77,0.399,174674.19,-961.73,-0.548
p2_filter_test3,full,2020-02,-1391.92,-3.093,173282.27,-2353.65,-1.34
p2_filter_test3,full,2020-03,753.99,1.676,174036.26,-1599.66,-0.911
p2_filter_test3,full,2020-04,1033.93,2.298,175070.19,-851.43,-0.484
p2_filter_test3,full,2020-05,8172.12,18.16,183242.31,0.0,0.0
p2_filter_test3,full,2020-06,8797.1,19.549,192039.41,-137.7,-0.072
p2_filter_test3,full,2020-07,6081.57,13.515,198120.98,-82.85,-0.042
p2_filter_test3,full,2020-08,3674.98,8.167,201795.96,-794.52,-0.392
p2_filter_test3,full,2020-09,3630.9,8.069,205426.86,-2927.64,-1.405
p2_filter_test3,full,2020-10,4272.03,9.493,209698.89,0.0,0.0
p2_filter_test3,full,2020-11,6748.7,14.997,216447.59,0.0,0.0
p2_filter_test3,full,2020-12,8414.19,18.698,224861.78,-294.72,-0.131
p2_filter_test3,full,2021-01,4936.61,10.97,229798.39,-966.01,-0.419
p2_filter_test3,full,2021-02,5112.52,11.361,234910.91,-1649.48,-0.697
p2_filter_test3,full,2021-03,-2413.61,-5.364,232497.3,-4063.08,-1.718
p2_filter_test3,full,2021-04,9848.43,21.885,242345.73,-984.89,-0.405
p2_filter_test3,full,2021-05,7827.98,17.396,250173.71,-1649.22,-0.655
p2_filter_test3,full,2021-06,5503.87,12.231,255677.58,-113.16,-0.044
p2_filter_test3,full,2021-07,-2544.05,-5.653,253133.53,-3164.96,-1.235
p2_filter_test3,full,2021-08,-538.27,-1.196,252595.26,-3703.24,-1.445
p2_filter_test3,full,2021-09,19042.76,42.317,271638.02,-104.1,-0.038
p2_filter_test3,full,2021-10,472.19,1.049,272110.21,-4145.68,-1.501
p2_filter_test3,full,2021-11,31.0,0.069,272141.21,-4114.68,-1.489
p2_filter_test3,full,2021-12,11840.73,26.313,283981.94,0.0,0.0
p2_filter_test3,full,2022-01,10498.63,23.33,294480.57,-1955.85,-0.66
p2_filter_test3,full,2022-02,2016.74,4.482,296497.31,-201.82,-0.068
p2_filter_test3,full,2022-03,4203.16,9.34,300700.47,-147.01,-0.049
p2_filter_test3,full,2022-04,5455.28,12.123,306155.76,0.0,0.0
p2_filter_test3,full,2022-05,3048.0,6.773,309203.76,-1322.14,-0.426
p2_filter_test3,full,2022-06,25871.0,57.491,335074.76,-616.25,-0.184
p2_filter_test3,full,2022-07,4417.83,9.817,339492.59,-2279.48,-0.667
p2_filter_test3,full,2022-08,128.38,0.285,339620.97,-2151.1,-0.629
p2_filter_test3,full,2022-09,10045.89,22.324,349666.86,-4279.06,-1.209
p2_filter_test3,full,2022-10,1291.22,2.869,350958.08,-4124.75,-1.162
p2_filter_test3,full,2022-11,4586.51,10.192,355544.59,-273.97,-0.077
